Date,Tata Motors PV,Maruti Suzuki,Mahindra & Mahindra,Bajaj Auto,Ashok Leyland,Hyundai Motor India,Toyota Motor,Volkswagen AG,NIFTY 50,NIFTY Auto
2025-10-15,390.8500061035156,16212.0,3497.199951171875,8998.0,134.7759552001953,2419.60009765625,194.3300018310547,10.59000015258789,25323.55078125,26708.650390625
2025-10-16,396.79998779296875,16298.0,3560.800048828125,9151.5,136.31552124023438,2358.199951171875,195.41000366210938,10.539999961853027,25585.30078125,27048.75
2025-10-17,396.6000061035156,16401.0,3647.199951171875,9150.5,133.60389709472656,2346.800048828125,197.8300018310547,10.920000076293945,25709.849609375,27228.599609375
2025-10-20,399.75,16424.0,3599.10009765625,9124.5,134.92494201660156,2323.199951171875,200.11000061035156,10.760000228881836,25843.150390625,27185.44921875
2025-10-21,401.8500061035156,16396.0,3621.199951171875,9118.0,135.32225036621094,2343.0,201.9499969482422,10.640000343322754,25868.599609375,27229.849609375
2025-10-23,405.8500061035156,16393.0,3623.60009765625,9047.0,136.92141723632812,2292.39990234375,204.05999755859375,10.399999618530273,25891.400390625,27218.75
2025-10-24,403.29998779296875,16274.0,3625.0,9076.5,135.4315185546875,2266.699951171875,205.3699951171875,10.645000457763672,25795.150390625,27108.69921875
2025-10-27,410.04998779296875,16388.0,3611.60009765625,9095.5,139.86146545410156,2273.0,209.22000122070312,10.710000038146973,25966.05078125,27263.650390625
2025-10-28,411.5,16311.0,3579.10009765625,9057.5,139.15625,2298.699951171875,211.24000549316406,10.75,25936.19921875,27148.349609375
2025-10-29,411.3500061035156,16138.0,3534.699951171875,9034.0,138.54042053222656,2357.699951171875,207.08999633789062,10.649999618530273,26053.900390625,26948.900390625
2025-10-30,412.45001220703125,16206.0,3502.10009765625,8923.0,139.8217315673828,2413.699951171875,207.2100067138672,10.470000267028809,25877.849609375,26829.55078125
2025-10-31,410.0,16186.0,3487.199951171875,8892.5,140.5766143798828,2438.699951171875,204.19000244140625,10.470000267028809,25722.099609375,26809.849609375
2025-11-03,417.0,15651.0,3548.89990234375,8922.5,138.8880615234375,2427.39990234375,205.72000122070312,10.680000305175781,25763.349609375,26841.80078125
2025-11-04,406.5,15374.0,3581.199951171875,8751.0,139.49395751953125,2395.10009765625,203.88999938964844,10.5,25597.650390625,26610.05078125
2025-11-06,407.8500061035156,15452.0,3618.5,8720.5,140.27862548828125,2353.39990234375,202.94000244140625,10.899999618530273,25509.69921875,26626.5
2025-11-07,405.70001220703125,15479.0,3690.199951171875,8721.5,140.3282928466797,2326.199951171875,201.97999572753906,11.09000015258789,25492.30078125,26779.55078125
