Date,Close,High,Low,Open,Volume,Regime,Returns
2025-10-15,390.8500061035156,403.0,388.0,403.0,26953550,Oct 2024 Crash,
2025-10-16,396.7999877929688,400.4500122070313,389.5499877929688,395.4500122070313,21983750,Oct 2024 Crash,0.015223184332962214
2025-10-17,396.6000061035156,402.5,392.25,396.7999877929688,16564540,Oct 2024 Crash,-0.0005039861280377034
2025-10-20,399.75,403.3999938964844,396.6000061035156,400.0499877929688,10471670,Oct 2024 Crash,0.007942495834612373
2025-10-21,401.8500061035156,403.3999938964844,400.0499877929688,402.7999877929688,3449156,Oct 2024 Crash,0.0052532985703954704
2025-10-23,405.8500061035156,408.8999938964844,403.6000061035156,407.5,14126000,Oct 2024 Crash,0.009953962770302027
2025-10-24,403.2999877929688,408.5,401.0,406.9500122070313,6311744,Oct 2024 Crash,-0.006283154545269176
2025-10-27,410.0499877929688,411.3999938964844,403.6499938964844,404.0,10699370,Oct 2024 Crash,0.016736920913236197
2025-10-28,411.5,414.1499938964844,408.5499877929688,411.2999877929688,10332270,Oct 2024 Crash,0.0035361840024326074
2025-10-29,411.3500061035156,415.0,407.0499877929688,412.5,8485023,Oct 2024 Crash,-0.0003645052162438711
2025-10-30,412.4500122070313,419.0,408.1000061035156,412.7000122070313,8783965,Oct 2024 Crash,0.0026741365921818527
2025-10-31,410.0,417.5,409.0499877929688,414.0499877929688,8012169,Oct 2024 Crash,-0.00594014337379023
2025-11-03,417.0,417.8500061035156,410.1000061035156,414.0,8952229,Oct 2024 Crash,0.017073170731707332
2025-11-04,406.5,417.5,405.1000061035156,417.3999938964844,8889004,Oct 2024 Crash,-0.025179856115107868
2025-11-06,407.8500061035156,409.7000122070313,405.3999938964844,407.1499938964844,6862359,Oct 2024 Crash,0.003321048225130685
2025-11-07,405.7000122070313,407.2000122070313,401.4500122070313,406.7000122070313,6930046,Oct 2024 Crash,-0.005271530867498986
2025-11-10,410.4500122070313,412.9500122070313,406.0,406.0,7913640,Oct 2024 Crash,0.011708158385699052
2025-11-11,407.6000061035156,413.7000122070313,402.6499938964844,412.5499877929688,8120946,Oct 2024 Crash,-0.006943613153258088
2025-11-12,402.1499938964844,411.3999938964844,401.8999938964844,407.6000061035156,12940220,Oct 2024 Crash,-0.01337098166197559
2025-11-13,397.9500122070313,404.0,397.3999938964844,404.0,13165720,Oct 2024 Crash,-0.010443818856638254
