Date,Close,High,Low,Open,Volume,Regime,Returns,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_Manual,EMA_12,EMA_26,MACD_Line,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,BB_Upper_Touch,BB_Lower_Touch,OBV,OBV_Normalized,TR,ATR_14,Simple_Return,Log_Return,Vol_21d,Vol_63d,Skew_63d,Kurt_63d,Price_Mean_63,Price_Std_63,Z_Score,Dollar_Volume,Range,Range_per_Volume,Abs_Return_per_Volume,Cluster
2025-10-15,390.8500061035156,403.0,388.0,403.0,26953550,Oct 2024 Crash,,,0.0,0.0,,,,,390.8500061035156,390.8500061035156,0.0,0.0,0.0,,,,,,False,False,0.0,77.33621455354003,,,,,,,,,,,,10534795182.011414,15.0,0.5565129639694957,,
2025-10-16,396.7999877929688,400.4500122070313,389.5499877929688,395.4500122070313,21983750,Oct 2024 Crash,0.0152231843329622,5.949981689453182,5.949981689453182,0.0,,,,,391.765387901893,391.29074548791954,0.4746424139734699,0.094928482794694,0.3797139311787759,,,,,,False,False,21983750.0,87.41685509235418,10.9000244140625,,0.0152231843329622,0.0151084743646853,,,,,,,,8723151731.643679,10.9000244140625,0.4958218872604765,0.0006872564673763,
2025-10-17,396.6000061035156,402.5,392.25,396.7999877929688,16564540,Oct 2024 Crash,-0.0005039861280377,-0.1999816894531818,0.0,0.1999816894531818,,,,,392.5091753175273,391.6840240520378,0.8251512654894668,0.2409730393336485,0.5841782261558183,,,,,,False,False,5419210.0,79.82119132112277,10.25,,-0.0005039861280377,-0.0005041131717336,,,,,,,,6569496665.101929,10.25,0.618791708070372,3.0433273229056206e-05,
2025-10-20,399.75,403.3999938964844,396.6000061035156,400.0499877929688,10471670,Oct 2024 Crash,0.0079424958346123,3.149993896484375,3.149993896484375,0.0,,,,,393.6231483456,392.2815037518868,1.3416445937131698,0.4611073502095528,0.880537243503617,,,,,,False,False,15890880.0,84.62297177764562,6.79998779296875,,0.0079424958346123,0.0079111202387675,,,,,,,,4186050082.5,6.79998779296875,0.649369947006423,0.0007554783753467,
2025-10-21,401.8500061035156,403.3999938964844,400.0499877929688,402.7999877929688,3449156,Oct 2024 Crash,0.0052532985703954,2.100006103515625,2.100006103515625,0.0,,,,,394.8888187698947,392.9902817038593,1.8985370660354304,0.7485932933747284,1.1499437726607022,,,,,,False,False,19340036.0,86.20458100256376,3.649993896484375,,0.0052532985703954,0.0052395481332056,,,,,,,,1386043359.6519775,3.350006103515568,0.9712538671824552,0.0015190812283369,
2025-10-23,405.8500061035156,408.8999938964844,403.6000061035156,407.5,14126000,Oct 2024 Crash,0.009953962770302,4.0,4.0,0.0,,,,,396.57515528275945,393.9428538816116,2.6323014011478563,1.125334914929354,1.5069664862185022,,,,,,False,False,33466036.0,92.6820531468198,7.04998779296875,,0.009953962770302,0.0099047483987612,,,,,,,,5733037186.218262,5.29998779296875,0.3751938123296581,0.0007011714851168,
2025-10-24,403.2999877929688,408.5,401.0,406.9500122070313,6311744,Oct 2024 Crash,-0.0062831545452691,-2.550018310546818,0.0,2.550018310546818,,,,,397.6097448997147,394.6359749120825,2.973769987632238,1.495021929469931,1.4787480581623071,,,,,,False,False,27154292.0,89.78780523929642,7.5,,-0.0062831545452691,-0.0063029766345766,,,,,,,,2545526278.152344,7.5,1.1882611208566127,0.0009986109440713,
2025-10-27,410.0499877929688,411.3999938964844,403.6499938964844,404.0,10699370,Oct 2024 Crash,0.0167369209132361,6.75,6.75,0.0,,,,,399.5236284217538,395.777753644,3.7458747777538406,1.9451924991267129,1.8006822786271277,,,,,,False,False,37853662.0,94.69399744771272,8.100006103515568,,0.0167369209132361,0.0165984021013495,,,,,,,,4387276537.892457,7.75,0.7243417135775284,0.0015513438736439,
2025-10-28,411.5,414.1499938964844,408.5499877929688,411.2999877929688,10332270,Oct 2024 Crash,0.0035361840024326,1.4500122070311932,1.4500122070311932,0.0,,,,,401.3661471260994,396.9423644851851,4.423782640914283,2.440910527484227,1.9828721134300555,,,,,,False,False,48185932.0,99.43185608511416,5.600006103515568,,0.0035361840024326,0.003529946404321,,,,,,,,4251729105.0,5.600006103515568,0.5419918472432068,0.0003416428727008,
2025-10-29,411.3500061035156,415.0,407.0499877929688,412.5,8485023,Oct 2024 Crash,-0.0003645052162438,-0.149993896484375,0.0,0.149993896484375,,,,,402.9021254303173,398.0095971976541,4.89252823266321,2.931234068520024,1.9612941641431865,,,,,,False,False,39700909.0,95.54105188534976,7.950012207031193,,-0.0003645052162438,-0.0003645716644178,,,,,,,,3490314262.8384705,7.950012207031193,0.9369464534193004,4.296649100631e-05,
