Date,Tata Motors CV_Close,Tata Motors CV_Volume,Tata Motors CV_Returns,Tata Motors PV_Close,Tata Motors PV_Volume,Tata Motors PV_Returns,Maruti Suzuki_Close,Maruti Suzuki_Volume,Maruti Suzuki_Returns,NIFTY 50_Close,NIFTY 50_Volume,NIFTY 50_Returns,NIFTY Auto_Close,NIFTY Auto_Volume,NIFTY Auto_Returns,Regime
2025-10-16,396.7999877929688,21983750,0.015223184332962214,396.7999877929688,21983750.0,0.0152231843329619,16298.0,265727,0.0053047125585985,25585.30078125,372800,0.0103362282114798,27048.75,636900.0,0.0127336875656727,Oct 2024 Crash
2025-10-17,396.6000061035156,16564540,-0.0005039861280377034,396.6000061035156,16564540.0,-0.0005039861280375,16401.0,411608,0.006319793839735,25709.849609375,422100,0.0048679837376106,27228.599609375,556200.0,0.0066490913397108,Oct 2024 Crash
2025-10-20,399.75,10471670,0.007942495834612373,399.75,10471670.0,0.0079424958346123,16424.0,374246,0.0014023535150295,25843.150390625,301100,0.0051848137299641,27185.44921875,300800.0,-0.0015847451299016,Oct 2024 Crash
2025-10-21,401.8500061035156,3449156,0.0052532985703954704,401.8500061035156,3449156.0,0.0052532985703954,16396.0,28990,-0.001704822211398,25868.599609375,42500,0.0009847568259027,27229.849609375,88900.0,0.0016332410131512,Oct 2024 Crash
2025-10-23,405.8500061035156,14126000,0.009953962770302027,405.8500061035156,14126000.0,0.009953962770302,16393.0,481753,-0.0001829714564527,25891.400390625,448400,0.0008814076368377,27218.75,717000.0,-0.0004076265397799,Oct 2024 Crash
2025-10-24,403.2999877929688,6311744,-0.006283154545269176,403.2999877929688,6311744.0,-0.0062831545452692,16274.0,208520,-0.0072591959982919,25795.150390625,284900,-0.0037174505259611,27108.69921875,312500.0,-0.0040431974741675,Oct 2024 Crash
2025-10-27,410.0499877929688,10699370,0.016736920913236197,410.0499877929688,10699370.0,0.0167369209132361,16388.0,209829,0.0070050387120559,25966.05078125,266300,0.0066252915000297,27263.650390625,425400.0,0.0057159205841874,Oct 2024 Crash
2025-10-28,411.5,10332270,0.0035361840024326074,411.5,10332270.0,0.0035361840024328,16311.0,383383,-0.004698559921894,25936.19921875,395200,-0.001149638146805,27148.349609375,554100.0,-0.0042291028383215,Oct 2024 Crash
2025-10-29,411.3500061035156,8485023,-0.0003645052162438711,411.3500061035156,8485023.0,-0.0003645052162438,16138.0,232815,-0.0106063392802403,26053.900390625,321900,0.0045381040946781,26948.900390625,385800.0,-0.0073466424891303,Oct 2024 Crash
2025-10-30,412.4500122070313,8783965,0.0026741365921818527,412.4500122070313,8783965.0,0.0026741365921818,16206.0,230383,0.0042136572065931,25877.849609375,257400,-0.00675717564781,26829.55078125,400300.0,-0.0044287376347467,Oct 2024 Crash
