Date,Close,High,Low,Open,Volume,Regime,Returns,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_Manual,EMA_12,EMA_26,MACD_Line,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,BB_Upper_Touch,BB_Lower_Touch,OBV,OBV_Normalized,TR,ATR_14
2025-10-15,390.8500061035156,403.0,388.0,403.0,26953550,Oct 2024 Crash,,,0.0,0.0,,,,,390.8500061035156,390.8500061035156,0.0,0.0,0.0,,,,,,False,False,0.0,77.33621455354003,,
2025-10-16,396.7999877929688,400.4500122070313,389.5499877929688,395.4500122070313,21983750,Oct 2024 Crash,0.0152231843329622,5.949981689453182,5.949981689453182,0.0,,,,,391.765387901893,391.29074548791954,0.47464241397346996,0.094928482794694,0.37971393117877594,,,,,,False,False,21983750.0,87.41685509235418,10.9000244140625,
2025-10-17,396.6000061035156,402.5,392.25,396.7999877929688,16564540,Oct 2024 Crash,-0.0005039861280377,-0.19998168945318184,0.0,0.19998168945318184,,,,,392.50917531752725,391.6840240520378,0.8251512654894668,0.24097303933364858,0.5841782261558183,,,,,,False,False,5419210.0,79.82119132112277,10.25,
2025-10-20,399.75,403.3999938964844,396.6000061035156,400.0499877929688,10471670,Oct 2024 Crash,0.0079424958346123,3.149993896484375,3.149993896484375,0.0,,,,,393.6231483456,392.2815037518868,1.3416445937131698,0.46110735020955285,0.880537243503617,,,,,,False,False,15890880.0,84.62297177764562,6.79998779296875,
2025-10-21,401.8500061035156,403.3999938964844,400.0499877929688,402.7999877929688,3449156,Oct 2024 Crash,0.0052532985703954,2.100006103515625,2.100006103515625,0.0,,,,,394.8888187698947,392.9902817038593,1.8985370660354306,0.7485932933747284,1.1499437726607022,,,,,,False,False,19340036.0,86.20458100256376,3.649993896484375,
2025-10-23,405.8500061035156,408.8999938964844,403.6000061035156,407.5,14126000,Oct 2024 Crash,0.009953962770302,4.0,4.0,0.0,,,,,396.57515528275945,393.9428538816116,2.6323014011478563,1.1253349149293541,1.5069664862185022,,,,,,False,False,33466036.0,92.6820531468198,7.04998779296875,
2025-10-24,403.2999877929688,408.5,401.0,406.9500122070313,6311744,Oct 2024 Crash,-0.0062831545452691,-2.550018310546818,0.0,2.550018310546818,,,,,397.6097448997147,394.6359749120825,2.973769987632238,1.495021929469931,1.4787480581623071,,,,,,False,False,27154292.0,89.78780523929642,7.5,
2025-10-27,410.0499877929688,411.3999938964844,403.6499938964844,404.0,10699370,Oct 2024 Crash,0.0167369209132361,6.75,6.75,0.0,,,,,399.5236284217538,395.777753644,3.7458747777538406,1.9451924991267129,1.8006822786271277,,,,,,False,False,37853662.0,94.69399744771273,8.100006103515568,
2025-10-28,411.5,414.1499938964844,408.5499877929688,411.2999877929688,10332270,Oct 2024 Crash,0.0035361840024326,1.4500122070311932,1.4500122070311932,0.0,,,,,401.3661471260994,396.9423644851851,4.423782640914283,2.440910527484227,1.9828721134300555,,,,,,False,False,48185932.0,99.43185608511415,5.600006103515568,
2025-10-29,411.3500061035156,415.0,407.0499877929688,412.5,8485023,Oct 2024 Crash,-0.0003645052162438,-0.149993896484375,0.0,0.149993896484375,,,,,402.9021254303173,398.0095971976541,4.89252823266321,2.9312340685200238,1.9612941641431862,,,,,,False,False,39700909.0,95.54105188534975,7.950012207031193,
2025-10-30,412.4500122070313,419.0,408.1000061035156,412.7000122070313,8783965,Oct 2024 Crash,0.0026741365921818,1.1000061035156818,1.1000061035156818,0.0,,,,,404.3710310882733,399.07925756871913,5.2917735195541695,3.4033419587268527,1.8884315608273168,,,,,,False,False,48484874.0,99.56893583010552,10.899993896484375,
2025-10-31,410.0,417.5,409.0499877929688,414.0499877929688,8012169,Oct 2024 Crash,-0.0059401433737902,-2.450012207031307,0.0,2.450012207031307,,,,,405.23702630546205,399.8882014525177,5.348824852944347,3.792438537570352,1.5563863153739947,,,,,,False,False,40472705.0,95.89495865945766,8.450012207031193,
2025-11-03,417.0,417.8500061035156,410.1000061035156,414.0,8952229,Oct 2024 Crash,0.0170731707317073,7.0,7.0,0.0,,,,,407.0467145661602,401.15574208566454,5.890972480495634,4.212145326155409,1.6788271543402251,,,,,,False,False,49424934.0,100.0,7.850006103515625,
