Strategy,Total Return,Ann. Return,Ann. Vol,Sharpe,Sortino,Max DD,Win Rate
Buy & Hold,+5.0%,+48.8%,25.3%,1.93,4.41,-6.1%,44.4%
ML Strategy,+0.0%,+0.0%,0.0%,0.00,0.00,0.0%,0.0%
