Date,Adj Close,Close,High,Low,Open,Volume
2025-10-14,395.5,395.5,421.45001220703125,376.8999938964844,399.0,4920667
2025-10-15,390.75,390.75,404.95001220703125,388.1000061035156,404.95001220703125,2001487
2025-10-16,396.95001220703125,396.95001220703125,400.29998779296875,389.79998779296875,395.95001220703125,1256608
2025-10-17,396.54998779296875,396.54998779296875,402.5,392.04998779296875,397.0,1309847
2025-10-20,399.70001220703125,399.70001220703125,403.20001220703125,396.75,401.3500061035156,612581
2025-10-21,401.8999938964844,401.8999938964844,403.3999938964844,400.0,403.3999938964844,236793
2025-10-23,405.8500061035156,405.8500061035156,408.8500061035156,403.6499938964844,407.5,1657122
2025-10-24,403.5,403.5,408.5,401.04998779296875,406.04998779296875,647179
2025-10-27,410.1000061035156,410.1000061035156,411.3500061035156,403.6000061035156,403.6000061035156,1015454
2025-10-28,411.6000061035156,411.6000061035156,414.20001220703125,408.6499938964844,411.3500061035156,851922
2025-10-29,411.6000061035156,411.6000061035156,414.8999938964844,407.3500061035156,412.5,678084
2025-10-30,412.29998779296875,412.29998779296875,415.3999938964844,408.1000061035156,412.29998779296875,611484
2025-10-31,410.1000061035156,410.1000061035156,417.6000061035156,409.1000061035156,413.20001220703125,516136
2025-11-03,417.04998779296875,417.04998779296875,418.0,410.1000061035156,414.8999938964844,886720
2025-11-04,406.5,406.5,417.29998779296875,405.0,417.0,625303
2025-11-06,407.8500061035156,407.8500061035156,409.8500061035156,405.45001220703125,406.54998779296875,799282
2025-11-07,405.6499938964844,405.6499938964844,407.45001220703125,401.70001220703125,407.45001220703125,238053
2025-11-10,410.6000061035156,410.6000061035156,412.8999938964844,406.79998779296875,407.95001220703125,259812
2025-11-11,407.5,407.5,414.0,402.54998779296875,412.54998779296875,643328
2025-11-12,402.29998779296875,402.29998779296875,411.3500061035156,401.79998779296875,407.75,611932
2025-11-13,398.04998779296875,398.04998779296875,403.95001220703125,397.5,403.6000061035156,1108347
2025-11-14,391.6000061035156,391.6000061035156,399.54998779296875,387.5,398.04998779296875,1030803
