,0
rf_best_accuracy,0.6545454545454545
rf_params,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
xgb_best_accuracy,0.5636363636363636
xgb_params,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}"
