Date,Close,High,Low,Open,Volume,Regime,Returns
2020-01-02,8267.4501953125,8275.0498046875,8206.849609375,8226.599609375,1032000,Pre-COVID,0.0069853702958746
2020-01-03,8168.14990234375,8261.650390625,8136.7998046875,8261.5,828600,Pre-COVID,-0.0120109937916591
2020-01-06,7978.75,8134.5,7967.2001953125,8132.64990234375,674500,Pre-COVID,-0.0231876134263162
2020-01-07,8002.5,8097.7001953125,7961.2001953125,8029.89990234375,749700,Pre-COVID,0.0029766567444775
2020-01-08,7942.75,8002.89990234375,7900.7998046875,7921.64990234375,520200,Pre-COVID,-0.0074664167447672
2020-01-09,8155.25,8165.89990234375,8022.35009765625,8035.4501953125,910500,Pre-COVID,0.0267539580120235
2020-01-10,8225.5,8246.7001953125,8147.64990234375,8177.5498046875,1066800,Pre-COVID,0.0086140829526992
2020-01-13,8235.849609375,8262.2998046875,8192.0498046875,8244.25,724000,Pre-COVID,0.0012582346817822
2020-01-14,8289.2998046875,8297.7001953125,8216.5498046875,8234.2001953125,712900,Pre-COVID,0.0064899430960536
2020-01-15,8385.349609375,8395.7001953125,8246.400390625,8287.599609375,881100,Pre-COVID,0.0115872036179924
2020-01-16,8395.900390625,8414.349609375,8373.650390625,8385.2998046875,719500,Pre-COVID,0.0012582398756759
2020-01-17,8427.599609375,8463.25,8369.7001953125,8401.9501953125,537300,Pre-COVID,0.0037755591747368
2020-01-20,8352.7001953125,8459.4501953125,8343.400390625,8436.900390625,711200,Pre-COVID,-0.0088873958818808
2020-01-21,8245.900390625,8325.7998046875,8229.2998046875,8321.25,700,Pre-COVID,-0.0127862609922759
2020-01-22,8169.14990234375,8294.0498046875,8147.14990234375,8278.5498046875,700,Pre-COVID,-0.0093077147000841
2020-01-23,8241.75,8251.849609375,8145.7998046875,8176.75,656600,Pre-COVID,0.0088871055769732
2020-01-24,8274.849609375,8324.400390625,8234.9501953125,8246.4501953125,580800,Pre-COVID,0.0040160899535899
2020-01-27,8258.150390625,8347.900390625,8189.0,8243.349609375,635200,Pre-COVID,-0.0020180691539192
2020-01-28,8156.0498046875,8340.4501953125,8125.89990234375,8290.099609375,809500,Pre-COVID,-0.0123636142608166
2020-01-29,8220.400390625,8264.599609375,8179.25,8200.7001953125,907900,Pre-COVID,0.0078899206697482
2020-01-30,8181.4501953125,8267.5498046875,8148.2001953125,8239.650390625,1181200,Pre-COVID,-0.0047382357867775
2020-01-31,8086.5498046875,8238.75,8072.9501953125,8211.599609375,1296800,Pre-COVID,-0.0115994583306725
2020-02-03,7988.35009765625,8016.7998046875,7816.35009765625,7826.0,1272700,Pre-COVID,-0.0121435852623237
2020-02-04,8100.7998046875,8142.10009765625,7997.85009765625,8026.60009765625,1046900,Pre-COVID,0.0140767124195322
2020-02-05,8131.7001953125,8212.2001953125,8064.7001953125,8138.2998046875,1721800,Pre-COVID,0.003814486392704
2020-02-06,8142.14990234375,8189.2001953125,8092.5498046875,8158.7998046875,1169800,Pre-COVID,0.0012850580789087
2020-02-07,8064.60009765625,8173.60009765625,8042.2001953125,8172.35009765625,969900,Pre-COVID,-0.0095244874655496
2020-02-10,7860.5498046875,8067.35009765625,7820.2998046875,8065.39990234375,1206400,Pre-COVID,-0.0253019728812159
2020-02-11,7892.39990234375,7969.2998046875,7881.35009765625,7923.0,847800,Pre-COVID,0.0040518918456895
2020-02-12,7933.7998046875,7961.10009765625,7905.75,7932.2998046875,711000,Pre-COVID,0.0052455403750455
2020-02-13,7914.89990234375,7933.39990234375,7873.75,7930.25,877500,Pre-COVID,-0.0023822005607683
2020-02-14,7822.2001953125,7977.14990234375,7807.2998046875,7933.60009765625,957200,Pre-COVID,-0.0117120504586293
2020-02-17,7770.5,7833.60009765625,7742.4501953125,7833.14990234375,679900,Pre-COVID,-0.0066094185806547
