Date,Close,High,Low,Open,Volume,Regime,Returns
2020-01-02,6962.57568359375,6998.814021192905,6945.619994973198,6960.438423611708,616838,Pre-COVID,0.0024822752624482
2020-01-03,6890.76318359375,6964.617384582744,6863.928698990032,6961.720395664831,571967,Pre-COVID,-0.0103140710081206
2020-01-06,6689.5283203125,6848.730526280027,6674.425109973177,6839.231593511262,748516,Pre-COVID,-0.0292035668502396
2020-01-07,6719.16552734375,6806.555713385005,6674.330376805239,6744.242618401264,590500,Pre-COVID,0.0044303881547609
2020-01-08,6682.6904296875,6760.0589711031735,6630.683764508424,6706.247601174063,793313,Pre-COVID,-0.0054285160125634
2020-01-09,6865.734375,6877.22817783925,6746.142889366623,6782.238838366332,798184,Pre-COVID,0.0273907563485713
2020-01-10,6963.193359375,6981.621198018001,6871.908513616145,6897.555634645149,747847,Pre-COVID,0.0141949832387739
2020-01-13,6984.28076171875,7000.713730539841,6915.033168013166,6964.61778457505,537399,Pre-COVID,0.0030284097044868
2020-01-14,7016.671875,7040.989237047348,6958.538681406218,6986.465452586916,548522,Pre-COVID,0.0046377163785837
2020-01-15,7108.0048828125,7128.949846402126,6984.566052044615,7018.714904722986,692726,Pre-COVID,0.0130165710239229
2020-01-16,7088.7216796875,7144.148050705901,7049.348877707759,7082.879928212812,640207,Pre-COVID,-0.002712885464053
2020-01-17,7143.34130859375,7190.598508877986,7060.130547591537,7094.754350210278,750738,Pre-COVID,0.0077051450704801
2020-01-20,7076.32568359375,7152.222070468207,7049.205949814691,7144.385450230294,407828,Pre-COVID,-0.009381551588383
2020-01-21,6936.73828125,7062.124198056874,6922.632272846208,7040.134260713232,442561,Pre-COVID,-0.0197259720065428
2020-01-22,6778.0595703125,7005.416652810305,6751.795110052063,6972.217692305218,1048435,Pre-COVID,-0.0228751186081804
2020-01-23,6788.98291015625,6858.230043175427,6766.23277871136,6787.367905921977,589326,Pre-COVID,0.0016115733021282
2020-01-24,6771.26708984375,6848.730703046345,6754.928739533748,6790.597047475034,645723,Pre-COVID,-0.0026094954939417
2020-01-27,6790.59765625,6862.979717831241,6707.197202436872,6745.667884592188,573149,Pre-COVID,0.0028547930763569
