Date,Open,High,Low,Close,Volume,Returns_1d,Returns_5d,Returns_21d,Log_Returns,Vol_21d,MA_21d,SMA_50,SMA_200,MACD,MACD_Signal,MACD_Diff,RSI,BB_High,BB_Low,ATR,Vol_Change,Vol_MA_20,Vol_Z,DayOfWeek,Month,Target_5d,sentiment_score,sentiment_volatility,Ticker
2020-12-02,419.5308912841003,460.7806961081368,418.33381744671215,452.65045166015625,16821595,,,,,,,,,,,,,,,0.0,,,,2,12,-0.010247801273558954,0.0,0.0,ADANIENT.NS
2020-12-03,452.6504729559905,455.89259755567525,442.17591655700886,446.4654846191406,6848649,-0.013663892344150885,,,-0.013758102490374336,,,,,,,,,,,0.0,-0.5928656586964554,,,3,12,-0.0006702766090620482,0.0,0.0,ADANIENT.NS
2020-12-04,447.9120125450886,455.44370570107856,440.92897448759277,444.8694152832031,4131360,-0.0035748997199616106,,,-0.0035813049438773235,,,,,,,,,,,0.0,-0.39676277759306977,,,4,12,0.008633178805034891,0.0,0.0,ADANIENT.NS
2020-12-07,444.91928352154787,465.21997889203055,444.86941685555576,456.4412841796875,5371039,0.026011832908580113,,,0.025679279731371046,,,,,,,,,,,0.0,0.3000655958328493,,,0,12,-0.0052453527750967455,0.0,0.0,ADANIENT.NS
2020-12-08,456.4412342444662,461.1797238532611,445.467889887257,450.804931640625,3872952,-0.012348472266684007,,,-0.01242534817257399,,,,,,,,,,,0.0,-0.2789194046068182,,,1,12,0.0233459626525252,0.0,0.0,ADANIENT.NS
2020-12-09,452.89990037448075,456.9899716428001,446.21612314744937,448.01177978515625,2798049,-0.0061959212498043925,-0.010247801273558954,,-0.006215195626126917,,,,,,,,,,,0.0,-0.277541007479566,,,2,12,0.03150741291990378,0.0,0.0,ADANIENT.NS
2020-12-10,446.91441185718276,451.1541133089529,436.9885103985284,446.1662292480469,3113868,-0.004119424132094096,-0.0006702766090620482,,-0.004127932333650193,,,,,,,,,,,0.0,0.11287114700278655,,,3,12,0.026942385332396235,0.0,0.0,ADANIENT.NS
2020-12-11,446.1662437141454,450.7052061792859,439.3328362404181,448.7100524902344,2940168,0.005701514537473473,0.008633178805034891,,0.005685322420702029,,,,,,,,,,,0.0,-0.05578271140587843,,,4,12,0.011894175544303609,0.0,0.0,ADANIENT.NS
2020-12-14,449.90715086237384,460.88049600535857,445.91684353765214,454.0470886230469,3762369,0.011894175544303609,-0.0052453527750967455,,0.01182399577723653,,,,,,,,,,,0.0,0.27964422441166636,,,0,12,-0.05701416466961928,0.0,0.0,ADANIENT.NS
2020-12-15,454.3962357497201,462.92550527514504,445.46791114645106,461.32940673828125,4779869,0.016038684748136856,0.0233459626525252,,0.015911423970939975,,,,,,,,,,,0.0,0.2704413097173617,,,1,12,-0.007892719921263947,0.0,0.0,ADANIENT.NS
